date,Armenian genocide
2023-01-01,15
2023-01-08,20
2023-01-15,22
2023-01-22,23
2023-01-29,25
2023-02-05,31
2023-02-12,25
2023-02-19,23
2023-02-26,26
2023-03-05,28
2023-03-12,25
2023-03-19,30
2023-03-26,27
2023-04-02,24
2023-04-09,27
2023-04-16,46
2023-04-23,100
2023-04-30,28
2023-05-07,29
2023-05-14,24
2023-05-21,23
2023-05-28,18
2023-06-04,18
2023-06-11,15
2023-06-18,12
2023-06-25,12
2023-07-02,13
2023-07-09,12
2023-07-16,12
2023-07-23,12
2023-07-30,14
2023-08-06,13
2023-08-13,14
2023-08-20,12
2023-08-27,13
2023-09-03,16
2023-09-10,15
2023-09-17,26
2023-09-24,28
2023-10-01,24
2023-10-08,32
2023-10-15,31
2023-10-22,30
2023-10-29,30
2023-11-05,29
2023-11-12,32
2023-11-19,23
2023-11-26,24
2023-12-03,26
2023-12-10,24
2023-12-17,22
2023-12-24,18
2023-12-31,16
