date,Armenian genocide,dt,year,MD,doy,week_num
2012-01-01,10,2012-01-01,2012,01-01,1,52
2012-01-08,12,2012-01-08,2012,01-08,8,1
2012-01-15,13,2012-01-15,2012,01-15,15,2
2012-01-22,35,2012-01-22,2012,01-22,22,3
2012-01-29,17,2012-01-29,2012,01-29,29,4
2012-02-05,14,2012-02-05,2012,02-05,36,5
2012-02-12,14,2012-02-12,2012,02-12,43,6
2012-02-19,13,2012-02-19,2012,02-19,50,7
2012-02-26,18,2012-02-26,2012,02-26,57,8
2012-03-04,15,2012-03-04,2012,03-04,64,9
2012-03-11,35,2012-03-11,2012,03-11,71,10
2012-03-18,21,2012-03-18,2012,03-18,78,11
2012-03-25,20,2012-03-25,2012,03-25,85,12
2012-04-01,18,2012-04-01,2012,04-01,92,13
2012-04-08,19,2012-04-08,2012,04-08,99,14
2012-04-15,28,2012-04-15,2012,04-15,106,15
2012-04-22,100,2012-04-22,2012,04-22,113,16
2012-04-29,21,2012-04-29,2012,04-29,120,17
2012-05-06,17,2012-05-06,2012,05-06,127,18
2012-05-13,15,2012-05-13,2012,05-13,134,19
2012-05-20,16,2012-05-20,2012,05-20,141,20
2012-05-27,14,2012-05-27,2012,05-27,148,21
2012-06-03,13,2012-06-03,2012,06-03,155,22
2012-06-10,13,2012-06-10,2012,06-10,162,23
2012-06-17,10,2012-06-17,2012,06-17,169,24
2012-06-24,10,2012-06-24,2012,06-24,176,25
2012-07-01,10,2012-07-01,2012,07-01,183,26
2012-07-08,11,2012-07-08,2012,07-08,190,27
2012-07-15,9,2012-07-15,2012,07-15,197,28
2012-07-22,10,2012-07-22,2012,07-22,204,29
2012-07-29,8,2012-07-29,2012,07-29,211,30
2012-08-05,7,2012-08-05,2012,08-05,218,31
2012-08-12,6,2012-08-12,2012,08-12,225,32
2012-08-19,6,2012-08-19,2012,08-19,232,33
2012-08-26,7,2012-08-26,2012,08-26,239,34
2012-09-02,8,2012-09-02,2012,09-02,246,35
2012-09-09,7,2012-09-09,2012,09-09,253,36
2012-09-16,10,2012-09-16,2012,09-16,260,37
2012-09-23,8,2012-09-23,2012,09-23,267,38
2012-09-30,7,2012-09-30,2012,09-30,274,39
2012-10-07,7,2012-10-07,2012,10-07,281,40
2012-10-14,9,2012-10-14,2012,10-14,288,41
2012-10-21,8,2012-10-21,2012,10-21,295,42
