date,Armenian genocide
2017-01-01,8
2017-01-08,7
2017-01-15,8
2017-01-22,9
2017-01-29,10
2017-02-05,10
2017-02-12,9
2017-02-19,9
2017-02-26,11
2017-03-05,12
2017-03-12,13
2017-03-19,11
2017-03-26,13
2017-04-02,19
2017-04-09,25
2017-04-16,39
2017-04-23,100
2017-04-30,22
2017-05-07,16
2017-05-14,15
2017-05-21,11
2017-05-28,9
2017-06-04,7
2017-06-11,7
2017-06-18,6
2017-06-25,6
2017-07-02,7
2017-07-09,8
2017-07-16,9
2017-07-23,8
2017-07-30,7
2017-08-06,7
2017-08-13,8
2017-08-20,7
2017-08-27,6
2017-09-03,7
2017-09-10,6
2017-09-17,7
2017-09-24,11
2017-10-01,8
2017-10-08,7
2017-10-15,7
2017-10-22,7
2017-10-29,7
2017-11-05,7
2017-11-12,7
2017-11-19,6
2017-11-26,7
2017-12-03,8
2017-12-10,8
2017-12-17,7
2017-12-24,6
2017-12-31,7
2018-01-07,7
2018-01-14,8
2018-01-21,9
2018-01-28,9
2018-02-04,9
2018-02-11,10
2018-02-18,11
2018-02-25,11
2018-03-04,9
2018-03-11,8
2018-03-18,9
2018-03-25,8
2018-04-01,9
2018-04-08,11
2018-04-15,13
2018-04-22,57
2018-04-29,12
2018-05-06,12
2018-05-13,13
2018-05-20,13
2018-05-27,10
2018-06-03,8
2018-06-10,6
2018-06-17,6
2018-06-24,4
2018-07-01,4
2018-07-08,5
2018-07-15,6
2018-07-22,5
2018-07-29,5
2018-08-05,5
2018-08-12,4
2018-08-19,5
2018-08-26,5
2018-09-02,4
2018-09-09,5
2018-09-16,5
2018-09-23,5
2018-09-30,6
2018-10-07,6
2018-10-14,6
2018-10-21,6
2018-10-28,6
2018-11-04,6
2018-11-11,6
2018-11-18,6
2018-11-25,7
2018-12-02,7
2018-12-09,7
2018-12-16,6
2018-12-23,5
2018-12-30,5
2019-01-06,7
2019-01-13,8
2019-01-20,6
2019-01-27,7
2019-02-03,8
2019-02-10,7
2019-02-17,8
2019-02-24,10
2019-03-03,10
2019-03-10,9
2019-03-17,11
2019-03-24,11
2019-03-31,11
2019-04-07,14
2019-04-14,13
2019-04-21,59
2019-04-28,16
2019-05-05,13
2019-05-12,13
2019-05-19,11
2019-05-26,8
2019-06-02,7
2019-06-09,6
2019-06-16,5
2019-06-23,6
2019-06-30,5
2019-07-07,5
2019-07-14,5
2019-07-21,6
2019-07-28,4
2019-08-04,4
2019-08-11,4
2019-08-18,4
2019-08-25,7
2019-09-01,5
2019-09-08,5
2019-09-15,5
2019-09-22,5
2019-09-29,5
2019-10-06,9
2019-10-13,12
2019-10-20,7
2019-10-27,44
2019-11-03,9
2019-11-10,10
2019-11-17,7
2019-11-24,6
2019-12-01,7
2019-12-08,20
2019-12-15,18
2019-12-22,4
2019-12-29,4
2020-01-05,6
2020-01-12,5
2020-01-19,6
2020-01-26,6
2020-02-02,6
2020-02-09,8
2020-02-16,7
2020-02-23,8
2020-03-01,8
2020-03-08,7
2020-03-15,5
2020-03-22,5
2020-03-29,9
2020-04-05,9
2020-04-12,8
2020-04-19,40
2020-04-26,17
2020-05-03,8
2020-05-10,6
2020-05-17,7
2020-05-24,6
2020-05-31,6
2020-06-07,5
2020-06-14,4
2020-06-21,4
2020-06-28,4
2020-07-05,6
2020-07-12,5
2020-07-19,5
2020-07-26,5
2020-08-02,5
2020-08-09,6
2020-08-16,6
2020-08-23,5
2020-08-30,4
2020-09-06,4
2020-09-13,4
2020-09-20,4
2020-09-27,12
2020-10-04,13
2020-10-11,9
2020-10-18,7
2020-10-25,7
2020-11-01,6
2020-11-08,7
2020-11-15,5
2020-11-22,4
2020-11-29,4
2020-12-06,4
2020-12-13,4
2020-12-20,3
2020-12-27,3
2021-01-03,3
2021-01-10,3
2021-01-17,4
2021-01-24,4
2021-01-31,4
2021-02-07,4
2021-02-14,4
2021-02-21,4
2021-02-28,5
2021-03-07,4
2021-03-14,5
2021-03-21,6
2021-03-28,5
2021-04-04,5
2021-04-11,5
2021-04-18,59
2021-04-25,47
