date,Armenian genocide
2021-12-26,11
2022-01-02,16
2022-01-09,16
2022-01-16,14
2022-01-23,21
2022-01-30,24
2022-02-06,20
2022-02-13,23
2022-02-20,30
2022-02-27,27
2022-03-06,24
2022-03-13,24
2022-03-20,26
2022-03-27,71
2022-04-03,71
2022-04-10,35
2022-04-17,53
2022-04-24,100
2022-05-01,39
2022-05-08,37
2022-05-15,28
2022-05-22,25
2022-05-29,21
2022-06-05,22
2022-06-12,19
2022-06-19,15
2022-06-26,14
2022-07-03,14
2022-07-10,14
2022-07-17,16
2022-07-24,14
2022-07-31,16
2022-08-07,15
2022-08-14,14
2022-08-21,15
2022-08-28,15
2022-09-04,14
2022-09-11,22
2022-09-18,22
2022-09-25,19
2022-10-02,17
2022-10-09,18
2022-10-16,18
2022-10-23,19
2022-10-30,18
2022-11-06,18
2022-11-13,19
2022-11-20,15
2022-11-27,21
2022-12-04,20
2022-12-11,19
2022-12-18,15
2022-12-25,11
