"created_at","timestamp_ms","id","extended_full_text","user_id","user_screen_name","user_name","user_followers_count","user_location","user_created_at","user_friends_count","user_statuses_count","user_verified","id_str","source","truncated","in_reply_to_status_id","in_reply_to_status_id_str","in_reply_to_user_id_str","in_reply_to_screen_name","contributors","is_quote_status","quote_count","reply_count","retweet_count","favorite_count","favorited","retweeted","filter_level","lang","possibly_sensitive","withheld_copyright","place_name","text","long","lat","quoted_status_id_str","place_country_code","rt_id","rt_user_name","rt_extended_full_text","rt_text","rt_favorite_count","rt_friends_count","rt_followers_count","rt_statuses_count","rt_user_id","rt_retweet_count","rt_reply_count","rt_quote_count","rt_user_verified","rt_user_location","rt_truncated","rt_source","rt_created_at","rt_user_screen_name","lat_float","long_float","hour","year","month","day","date"
"Mon Apr 23 12:41:46 +0000 2012","1335184906000","194466103165063169","#1915NeverAgain #recognizethearmeniangenocide #1.5millionliveslostArmenianGenocide",,"Vicapulco           ","Victoria M.","27",,"Tue May 05 13:20:11 +0000 2009","99","1496",,,"<a href=""http://twitter.com/#!/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,"null",,,,,,,,,,,,,,"#1915NeverAgain #recognizethearmeniangenocide #1.5millionliveslostArmenianGenocide","0.00000","0.00000",,,,,,,,,,,,,,,,,,,,,,,"12","2012","04","23","04/23/2012"
"Mon Apr 23 16:28:59 +0000 2012","1335198539000","194523284145061888","â€œ@iremgm_1D: @TeamMalikx fuck offf bitch . u are not Directioner.  u arent humanâ€�Turks arent humans;they massacred my people #1915NeverAgain",,"NiallersLaughs      ","Catherine Horan","273",,"Sun Jul 04 21:17:04 +0000 2010","587","5347",,,"<a href=""http://twitter.com/#!/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,"null",,,,,,,,,,,,,,"â€œ@iremgm_1D: @TeamMalikx fuck offf bitch . u are not Directioner.  u arent humanâ€�Turks arent humans;they massacred my people #1915NeverAgain","0.00000","0.00000",,,,,,,,,,,,,,,,,,,,,,,"16","2012","04","23","04/23/2012"
"Tue Apr 24 00:37:21 +0000 2012","1335227841000","194646185628286977","#1915neveragain #ArmenianGenocide",,"CrazZyPaparaZz      ","SoN`oK","14552",,"Fri Apr 15 23:47:12 +0000 2011","12366","28295",,,"web",,,,,"null",,,,,,,,,,,,,,"#1915neveragain #ArmenianGenocide","0.00000","0.00000",,,,,,,,,,,,,,,,,,,,,,,"00","2012","04","24","04/24/2012"
"Tue Apr 24 02:19:50 +0000 2012","1335233990000","194671976420356096","RT @Vickkeyyy: We should get #1915NeverAgain trending. ðŸ˜³",,"KittyMazmanian      ","Ano Mazmanian","219",,"Wed Nov 09 00:39:20 +0000 2011","198","15746",,,"<a href=""http://twitter.com/#!/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,"null",,,,,,,,,,,,,,"RT @Vickkeyyy: We should get #1915NeverAgain trending. ðŸ˜³","0.00000","0.00000",,,,,,,,,,,,,,,,,,,,,,,"02","2012","04","24","04/24/2012"
"Tue Apr 24 05:15:16 +0000 2012","1335244516000","194716125664260096","Retweet for awareness toward the #ArmenianGenocide #1915NeverAgain @Drake @rihanna @Oprah @KimKardashian @KhloeKardashian @KevinHart4real",,"RoxAndCompany       ","Rox Galstyan","19",,"Tue Jun 16 10:52:05 +0000 2009","19","26",,,"<a href=""http://twitter.com/#!/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,"null",,,,,,,,,,,,,,"Retweet for awareness toward the #ArmenianGenocide #1915NeverAgain @Drake @rihanna @Oprah @KimKardashian @KhloeKardashian @KevinHart4real","0.00000","0.00000",,,,,,,,,,,,,,,,,,,,,,,"05","2012","04","24","04/24/2012"
"Tue Apr 24 12:53:32 +0000 2012","1335272012000","194831452213477376","RT @SN_Cruiser4Life: Remembering #April24 1915! #ArmenianGenocide #NeverForget #Truth #TurkishDenial #1915NeverAgain",,"Sarkist             ","Sarkis T","61",,"Fri May 08 20:29:14 +0000 2009","331","510",,,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>",,,,,"null",,,,,,,,,,,,,,"RT @SN_Cruiser4Life: Remembering #April24 1915! #ArmenianGenocide #NeverForget #Truth #TurkishDenial #1915NeverAgain","0.00000","0.00000",,,,,,,,,,,,,,,,,,,,,,,"12","2012","04","24","04/24/2012"
"Tue Apr 24 11:05:41 +0000 2012","1335265541000","194804310889086976","im so proud to be Armenian â�¤â�¤ #ArmenianGenocide #1915NeverAgain  http://t.co/9UFM5FaV via @sharethis",,"aundrea_i           ","Aundrea Issakhanian","27",,"Sun Apr 15 23:15:28 +0000 2012","61","150",,,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>",,,,,"null",,,,,,,,,,,,,,"im so proud to be Armenian â�¤â�¤ #ArmenianGenocide #1915NeverAgain  http://t.co/9UFM5FaV via @sharethis","0.00000","0.00000",,,,,,,,,,,,,,,,,,,,,,,"11","2012","04","24","04/24/2012"
"Tue Apr 24 09:09:00 +0000 2012","1335258540000","194774946562580480","#1915neveragain #ArmenianGenocide",,"Kings_Dad           ","Aram Yaylo","15",,"Sun Feb 20 17:25:56 +0000 2011","28","612",,,"<a href=""http://twitter.com/#!/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,"null",,,,,,,,,,,,,,"#1915neveragain #ArmenianGenocide","0.00000","0.00000",,,,,,,,,,,,,,,,,,,,,,,"09","2012","04","24","04/24/2012"
"Tue Apr 24 13:01:07 +0000 2012","1335272467000","194833360651161600","RT @loryzoboyan: #TurkeyIsGuiltyOfGenocide #NEVERFORGET #1915NeverAgain 1.5 million dies and Turkey still denies ittttttttt !",,"MariamMinnie77      ","Mariam","31",,"Mon Feb 28 08:41:58 +0000 2011","109","564",,,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerryÂ®</a>",,,,,"null",,,,,,,,,,,,,,"RT @loryzoboyan: #TurkeyIsGuiltyOfGenocide #NEVERFORGET #1915NeverAgain 1.5 million dies and Turkey still denies ittttttttt !","0.00000","0.00000",,,,,,,,,,,,,,,,,,,,,,,"13","2012","04","24","04/24/2012"
"Tue Apr 24 23:52:04 +0000 2012","1335311524000","194997177578295296","RT @sharisarakelian: Long amazing day. i love being Armenian (y) #1915NeverAgain",,"TiffTorossian       ","Tiffany Torossian","44",,"Thu Jun 23 04:26:06 +0000 2011","52","316",,,"<a href=""http://twitter.com/#!/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,"null",,,,,,,,,,,,,,"RT @sharisarakelian: Long amazing day. i love being Armenian (y) #1915NeverAgain","0.00000","0.00000",,,,,,,,,,,,,,,,,,,,,,,"23","2012","04","24","04/24/2012"
