"created_at","timestamp_ms","id","extended_full_text","user_id","user_screen_name","user_name","user_followers_count","user_location","user_created_at","user_friends_count","user_statuses_count","user_verified","id_str","source","truncated","in_reply_to_status_id","in_reply_to_status_id_str","in_reply_to_user_id_str","in_reply_to_screen_name","contributors","is_quote_status","quote_count","reply_count","retweet_count","favorite_count","favorited","retweeted","filter_level","lang","possibly_sensitive","withheld_copyright","place_name","text","long","lat","quoted_status_id_str","place_country_code","rt_id","rt_user_name","rt_extended_full_text","rt_text","rt_favorite_count","rt_friends_count","rt_followers_count","rt_statuses_count","rt_user_id","rt_retweet_count","rt_reply_count","rt_quote_count","rt_user_verified","rt_user_location","rt_truncated","rt_source","rt_created_at","rt_user_screen_name","lat_float","long_float","hour","year","month","day","date"
"Tue Apr 22 18:15:06 +0000 2014","1398190506000","458730743276240896","They will because #TurkeyFailed http://t.co/jn5LBEO1Rr",,"ArevDinkjian","CampHaiastanProblems","168","","Tue Feb 26 22:46:02 +0000 2013","210","396",,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false",,"null",,"null",,,,,,"0",,,,"en",,,"null","They will because #TurkeyFailed http://t.co/jn5LBEO1Rr","0.00000","0.00000",,"null",,"null","null","null",,"0","0","0",,"0",,,,,,,,"null",,,"18","2014","04","22","04/22/2014"
"Tue Apr 22 14:03:59 +0000 2014","1398175439000","458667547693707264","RT @haynonymous: RIGHT NOW: People all over the world are using the Hashtag #TurkeyFailed

#TurkeyFailed to exterminate the #Armenian race!â€¦",,"Sarine_M","S.M. ","1218","Beirut-Lebanon","Wed Aug 05 07:53:10 +0000 2009","586","14820",,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","false",,"null",,"null",,,,,,"0",,,,"en",,,"null","RT @haynonymous: RIGHT NOW: People all over the world are using the Hashtag #TurkeyFailed

#TurkeyFailed to exterminate the #Armenian race!â€¦","0.00000","0.00000",,"null","458666566092345344","Aram Haynonymous","RIGHT NOW: People all over the world are using the Hashtag #TurkeyFailed

#TurkeyFailed to exterminate the #Armenian race! #ArmenianGenocide","RIGHT NOW: People all over the world are using the Hashtag #TurkeyFailed

#TurkeyFailed to exterminate the #Armenian race! #ArmenianGenocide",,"1433","562","1022",,"0",,,,,,,"Tue Apr 22 14:00:05 +0000 2014","haynonymous",,,"14","2014","04","22","04/22/2014"
"Tue Apr 22 17:04:17 +0000 2014","1398186257000","458712921682771969","RT @SosyBourouj: My great grandparents were survivors of the #ArmenianGenocide #TurkeyFailed",,"Recognize1915","Armenian Genocide","375","Armenian Diaspora","Sun Feb 02 10:17:03 +0000 2014","200","1322",,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false",,"null",,"null",,,,,,"0",,,,"en",,,"null","RT @SosyBourouj: My great grandparents were survivors of the #ArmenianGenocide #TurkeyFailed","0.00000","0.00000",,"null","458684481944428544","Sosy Bouroujian","My great grandparents were survivors of the #ArmenianGenocide #TurkeyFailed","My great grandparents were survivors of the #ArmenianGenocide #TurkeyFailed",,"80","116","1400",,"0",,,,,,,"Tue Apr 22 15:11:17 +0000 2014","SosyBourouj",,,"17","2014","04","22","04/22/2014"
"Tue Apr 22 16:57:14 +0000 2014","1398185834000","458711147487969280","Kank! Bidi linenk! Oo der shatanank!!! â™¦ï¸�ðŸ”·ðŸ”¶ #TurkeyFailed",,"derikgb","Derik Boghosian","65","","Mon Aug 20 22:23:03 +0000 2012","158","144",,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false",,"null",,"null",,,,,,"0",,,,"en",,,"West Norriton, PA","Kank! Bidi linenk! Oo der shatanank!!! â™¦ï¸�ðŸ”·ðŸ”¶ #TurkeyFailed","-75.36451","40.12973",,"US",,"null","null","null",,"0","0","0",,"0",,,,,,,,"null",,,"16","2014","04","22","04/22/2014"
"Tue Apr 22 18:20:20 +0000 2014","1398190820000","458732060304474112","Every Sunday morning I take part in a church service that is done in 100% Armenian language. #TurkeyFailed #ArmenianGenocide",,"HeyLyshy","Alysha Phillips","216","","Sun Dec 13 21:00:21 +0000 2009","433","7372",,,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","false",,"null",,"null",,,,,,"0",,,,"en",,,"null","Every Sunday morning I take part in a church service that is done in 100% Armenian language. #TurkeyFailed #ArmenianGenocide","0.00000","0.00000",,"null",,"null","null","null",,"0","0","0",,"0",,,,,,,,"null",,,"18","2014","04","22","04/22/2014"
"Tue Apr 22 17:34:04 +0000 2014","1398188044000","458720416904019969","RT @roseechristina: #TurkeyFailed",,"rostomzavarian","R Z","6","","Wed Apr 16 23:50:12 +0000 2014","26","137",,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","false",,"null",,"null",,,,,,"0",,,,"en",,,"null","RT @roseechristina: #TurkeyFailed","0.00000","0.00000",,"null","458687909705428992","Christina Bastagian","#TurkeyFailed","#TurkeyFailed",,"323","312","9525",,"0",,,,,,,"Tue Apr 22 15:24:54 +0000 2014","roseechristina",,,"17","2014","04","22","04/22/2014"
"Tue Apr 22 16:47:18 +0000 2014","1398185238000","458708647678205953","Armenian was my first language. Armenians were my first friends. Armenia is where my heart is. It'll be my children's too. #TurkeyFailed",,"maryapks","Õ„Õ¡Ö€Õ«","237","","Mon Aug 27 21:12:20 +0000 2012","387","9522",,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false",,"null",,"null",,,,,,"0",,,,"en",,,"null","Armenian was my first language. Armenians were my first friends. Armenia is where my heart is. It'll be my children's too. #TurkeyFailed","0.00000","0.00000",,"null",,"null","null","null",,"0","0","0",,"0",,,,,,,,"null",,,"16","2014","04","22","04/22/2014"
"Tue Apr 22 18:33:51 +0000 2014","1398191631000","458735461897633792","RT @ANCA_DC: #TurkeyFailed | #Armenia Lives",,"TurkeyFailed","1.5 million ","48","","Fri Apr 11 23:04:12 +0000 2014","93","76",,,"web","false",,"null",,"null",,,,,,"0",,,,"en",,,"null","RT @ANCA_DC: #TurkeyFailed | #Armenia Lives","0.00000","0.00000",,"null","458437949127147521","Aram Hamparian","#TurkeyFailed | #Armenia Lives","#TurkeyFailed | #Armenia Lives",,"9734","10896","8752",,"0",,,,,,,"Mon Apr 21 22:51:39 +0000 2014","ANCA_DC",,,"18","2014","04","22","04/22/2014"
"Tue Apr 22 16:31:25 +0000 2014","1398184285000","458704650531643392","Being armenian is better then anything else #TurkeyFailed",,"RGKIDNEY","Nash Hovsepian","353","","Sun Dec 23 11:53:16 +0000 2012","1835","7135",,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false",,"null",,"null",,,,,,"0",,,,"en",,,"null","Being armenian is better then anything else #TurkeyFailed","0.00000","0.00000",,"null",,"null","null","null",,"0","0","0",,"0",,,,,,,,"null",,,"16","2014","04","22","04/22/2014"
"Tue Apr 22 18:39:20 +0000 2014","1398191960000","458736841810644992","RT @ayfwest: #TurkeyFailed in wiping out the Armenian people. We are survivors of the #ArmenianGenocide http://t.co/HAfpjkB9nr",,"luchadora41","Kristy Lonestar","16181","San Diego, California","Mon Nov 16 09:54:23 +0000 2009","15196","192439",,,"web","false",,"null",,"null",,,,,,"0",,,,"en",,,"null","RT @ayfwest: #TurkeyFailed in wiping out the Armenian people. We are survivors of the #ArmenianGenocide http://t.co/HAfpjkB9nr","0.00000","0.00000",,"null","458685795801374720","ayfwest","#TurkeyFailed in wiping out the Armenian people. We are survivors of the #ArmenianGenocide http://t.co/HAfpjkB9nr","#TurkeyFailed in wiping out the Armenian people. We are survivors of the #ArmenianGenocide http://t.co/HAfpjkB9nr",,"2002","1453","4235",,"0",,,,,,,"Tue Apr 22 15:16:30 +0000 2014","ayfwest",,,"18","2014","04","22","04/22/2014"
"Tue Apr 22 14:41:38 +0000 2014","1398177698000","458677022651609090","RT @VickenKabakian: I am alive. I am proud to be Armenian. #TurkeyFailed",,"Arouydz76","Ô±Õ¼ÕµÕ¸Ö‚Õ®76","251","","Mon Sep 12 20:10:20 +0000 2011","163","6301",,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","false",,"null",,"null",,,,,,"0",,,,"en",,,"null","RT @VickenKabakian: I am alive. I am proud to be Armenian. #TurkeyFailed","0.00000","0.00000",,"null","458632858551087105","Vicken Kabakian","I am alive. I am proud to be Armenian. #TurkeyFailed","I am alive. I am proud to be Armenian. #TurkeyFailed",,"74","63","191",,"0",,,,,,,"Tue Apr 22 11:46:09 +0000 2014","VickenKabakian",,,"14","2014","04","22","04/22/2014"
"Tue Apr 22 10:31:23 +0000 2014","1398162683000","458614045151883264","RT @BFCAHayTad: Ce soir Ã  20h (heure de Paris), opÃ©ration trending #TurkeyFailed sur #Twitter !
Les armÃ©niens ont survÃ©cu, la Turquie a Ã©châ€¦",,"Nani_M23","Õ†Õ¡Ö€Õ«Õ¶Õ§","160","","Wed Oct 24 12:51:33 +0000 2012","150","5105",,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false",,"null",,"null",,,,,,"0",,,,"fr",,,"null","RT @BFCAHayTad: Ce soir Ã  20h (heure de Paris), opÃ©ration trending #TurkeyFailed sur #Twitter !
Les armÃ©niens ont survÃ©cu, la Turquie a Ã©châ€¦","0.00000","0.00000",,"null","458610512734195712","BFCA- Hay Tad France","Ce soir Ã  20h (heure de Paris), opÃ©ration trending #TurkeyFailed sur #Twitter !
Les armÃ©niens ont survÃ©cu, la Turquie a Ã©chouÃ©!

@AYFeast","Ce soir Ã  20h (heure de Paris), opÃ©ration trending #TurkeyFailed sur #Twitter !
Les armÃ©niens ont survÃ©cu, la Turquie a Ã©chouÃ©!

@AYFeast",,"294","283","571",,"0",,,,,,,"Tue Apr 22 10:17:21 +0000 2014","BFCAHayTad",,,"10","2014","04","22","04/22/2014"
